KoordID,x,y,whinchat,ptarmigan,dipper,elev.birds,prec.birds,temp.birds,est.slope,forest.edge.sum,forest.sum,grassland.sum,water.dist,buildings.sum
701198,701000,198000,0,0,1,1370.90002441406,588.814138990051,13.9940993961473,7.66758251314273,13.7396875,21.36125,63.8446875,8246.21125123532,4
701214,701000,214000,0,0,0,1358.30004882812,695.937399409073,13.9938305633032,5.46404513318192,24.75890625,67.778125,31.146875,2828.42712474619,1
701230,701000,230000,0,0,0,412.899993896484,415.809903220116,19.7,7.95138670365879E-16,0,1.55203125,3.031875,0,10
701246,701000,246000,0,0,0,537,409.76000433374,18.6671824618043,0.559730811459569,0.511875,4.028125,8.90328125,0,118
701262,701000,262000,0,0,1,471.399993896484,362.747963026674,18.9070301448632,1.55410881702006,6.48765625,4.5021875,12.0903125,4472.13595499958,101
701278,701000,278000,0,0,0,458.399993896484,324.046584474945,18.8804222693228,4.23412405484798,6.5875,46.88078125,11.1765625,3000,36
707094,707000,94000,0,0,1,321.600006103516,434.756408584167,21.7006903808591,3.9472832163612,25.9471875,52.6996875,9.12453125,1000,80
707110,707000,110000,0,0,1,344.600006103516,565.363013667533,21.6555426858462,15.9802615363693,26.285,52.52875,5.630625,1000,50
707118,707000,118000,0,0,0,710,460.777596617879,,16.0377456683462,25.22265625,89.22890625,2.05484375,2000,38
707134,707000,134000,0,1,0,1947.30004882812,650.035965334386,,24.1684009007696,0,20.44109375,48.53203125,5656.85424949238,3
707142,707000,142000,0,0,0,1004.90002441406,348.441675897886,17.3421848458299,17.7490882688911,35.81546875,68.4109375,16.82171875,1000,40
707150,707000,150000,0,0,0,1917.40002441406,438.416324165988,11.2614307221264,19.3745944672117,10.59640625,33.46953125,35.92984375,3605.55127546399,21
707158,707000,158000,0,1,0,2719.5,487.530601446425,6.473878915424,9.55901745146934,0,0,4.78375,4000,1
707174,707000,174000,0,0,0,1720,290.455848807357,12.5772807673219,22.4082003527179,15.14140625,85.2421875,8.78203125,1414.2135623731,32
707190,707000,190000,0,1,0,2393.60009765625,710.168540180557,8.49323228909509,17.6098731794815,0,0,30.7715625,5000,2
707206,707000,206000,0,0,0,1830,806.144501825886,11.2947951251641,11.0195146228093,0,2.743125,64.44265625,3605.55127546399,2
707222,707000,222000,0,0,0,1269.40002441406,727.596176966125,14.8879366546975,4.05398175544155,16.4409375,77.0796875,21.32796875,5000,4
707238,707000,238000,0,0,0,611.299987792969,564.533272650975,,5.57557773829709,11.83953125,21.7075,47.7421875,4472.13595499958,115
707254,707000,254000,0,0,0,579,444.94884691732,17.8980966121078,1.89311850745791,19.04,40.070625,31.653125,1000,63
707270,707000,270000,0,0,0,384.200012207031,289.809880375602,19.4133749002707,2.3580875500028,19.01234375,22.26390625,20.50890625,0,72
713094,713000,94000,0,0,0,271.200012207031,372.37712321268,22.2777020733312,1.50974086492459,15.42390625,18.8134375,6.693125,0,136
713102,713000,102000,0,0,0,959.700012207031,451.478661638528,18.0791506198673,21.5206226170691,20.881875,85.6815625,8.30640625,8000,41
713110,713000,110000,0,0,0,578,561.823446637593,,11.3961162725502,25.4471875,83.35640625,3.08390625,2828.42712474619,40
713118,713000,118000,0,0,0,1759.59997558594,600.204453337267,14.1871110745867,7.23282350839654,13.1728125,91.20609375,1.20203125,4000,10
713126,713000,126000,0,0,0,1849.80004882812,689.101759221204,11.4654965011323,12.4195292946111,11.97421875,38.61328125,18.4753125,5830.9518948453,3
713134,713000,134000,0,0,0,868.400024414062,458.387003340246,17.3218510118184,13.1454823678115,34.6890625,92.84765625,2.95078125,1414.2135623731,11
713142,713000,142000,0,0,0,1948,537.146070595118,,11.4897193525553,15.35265625,68.43640625,8.15921875,3605.55127546399,11
713150,713000,150000,0,0,0,1613.5,336.887593943311,13.4817647990599,20.789947635303,21.56453125,52.258125,44.1003125,7810.24967590665,18
713158,713000,158000,1,0,0,2017,310.352899699171,11.3661807285299,22.0694868045001,10.02265625,40.0578125,46.9365625,4000,12
713166,713000,166000,0,0,0,2416.19995117188,459.15415551345,,8.89520191077492,0,0,18.81875,7810.24967590665,1
713182,713000,182000,0,1,0,2609.80004882812,506.91341739575,,6.36450182847359,0,0,7.1225,4472.13595499958,0
713198,713000,198000,0,1,1,2023.69995117188,818.565562066992,,8.16594363278608,0,0,26.453125,2236.06797749979,0
713214,713000,214000,0,0,0,1505,777.201529531078,,22.0128171964719,15.22078125,66.4384375,22.58109375,1000,4
713230,713000,230000,0,0,0,406,522.558508223398,19.4577414015962,2.83377934739095,9.61828125,23.8215625,5.34921875,0,66
713246,713000,246000,0,0,0,881.799987792969,562.478734786877,16.6431379095737,5.79897393588199,40.12953125,66.2540625,30.47984375,1000,19
713262,713000,262000,0,0,1,463.200012207031,307.70891757563,18.98404944255,0.10427950741945,3.3609375,7.56703125,29.35390625,8944.27190999916,76
713278,713000,278000,0,0,0,502.600006103516,352.653803584371,18.3671072382439,5.57380100811603,20.85984375,60.80546875,10.54109375,1000,24
719078,719000,78000,0,0,1,342.299987792969,357.026526019562,22.0568949354862,2.3654537376137,18.4865625,30.56171875,21.53265625,7000,117
719086,719000,86000,0,0,0,271,361.372313032819,22.3936075519715,4.92960054857669,12.815625,33.35140625,2.27984375,0,53
719094,719000,94000,0,0,0,272.899993896484,404.412875738424,22.1717932870312,7.94766034410891,7.6903125,7.41578125,0.5375,0,38
719102,719000,102000,0,0,0,604.599975585938,399.132890690499,20.2035347265713,5.80027888012224,24.625625,64.59,8.00921875,6403.12423743285,102
719110,719000,110000,0,0,0,1080.80004882812,614.994606207973,17.7363474154458,2.49249131879085,12.35515625,67.4096875,18.95078125,4000,37
719118,719000,118000,0,0,0,1376.30004882812,461.885430441133,15.931024625341,15.7189727786063,26.345,84.90046875,10.018125,2000,19
719126,719000,126000,0,0,0,257.5,359.771336307478,21.9,14.0802931772399,26.26015625,53.93390625,12.87015625,1000,42
719134,719000,134000,0,0,0,1292.40002441406,608.941059882897,15.2285983732753,36.1808577505313,18.48953125,69.95828125,12.83296875,2000,25
719142,719000,142000,1,0,0,1227.59997558594,446.816104459581,15.7322573025502,26.5310489630886,21.83359375,77.1075,20.75375,7615.77310586391,37
719150,719000,150000,0,0,0,1770.09997558594,503.020825103499,12.2748929886804,22.1988733649502,15.3009375,45.23046875,35.16421875,4242.64068711928,7
719158,719000,158000,1,1,0,2085.60009765625,426.075303032344,11.1704472868424,16.8062265677573,6.43828125,29.27890625,45.92953125,2000,3
719174,719000,174000,0,1,0,2043.69995117188,453.854635492884,10.9157448201689,15.2985486398535,7.020625,22.94859375,26.73640625,2828.42712474619,2
719190,719000,190000,0,1,0,2163.10009765625,616.014820469527,9.98814065504267,12.4286071271924,0,0,42.4475,2000,1
719206,719000,206000,0,1,0,2337.69995117188,720.426883014974,8.30850456920354,27.9101144784492,0,0,4.51171875,3605.55127546399,0
719222,719000,222000,0,0,0,802.400024414062,601.862539925092,16.8850015722511,26.5538825219661,27.033125,83.00515625,11.89703125,1414.2135623731,37
719238,719000,238000,0,0,0,1078.90002441406,741.105123606332,15.1958294806095,1.38722553630111,30.775625,59.7415625,39.7959375,2828.42712474619,5
719254,719000,254000,0,0,0,767.799987792969,438.992136441568,,2.9055430316961,17.41328125,72.1928125,24.5890625,3000,34
719270,719000,270000,0,0,1,509.200012207031,328.551463430307,,4.54167497831327,16.93875,49.23234375,12.11578125,0,44
725110,725000,110000,0,1,0,2144,735.378329929891,12.0150169393148,4.76744051051441,3.47359375,32.47578125,45.93390625,6403.12423743285,3
725118,725000,118000,0,0,0,741.599975585938,606.356891704775,18.4549567496251,12.3301543534094,14.075625,95.55234375,0.55484375,1414.2135623731,28
725126,725000,126000,0,1,0,2038.90002441406,623.745951403807,11.0815139009065,5.14101801962332,13.27796875,29.1171875,52.249375,4123.10562561766,2
725134,725000,134000,0,1,0,2245.10009765625,742.457719760119,9.05257940254745,18.124985721179,0.31390625,0.60703125,7.5503125,7280.10988928052,4
725142,725000,142000,0,0,0,1618,606.63669755355,,14.7305125755368,11.22296875,78.711875,11.0571875,8246.21125123532,2
725150,725000,150000,0,0,0,2547.89990234375,486.71368824094,,11.7533173785397,0,0,2.9625,1414.2135623731,0
725166,725000,166000,1,0,0,1559.30004882812,289.358481197067,12.8391451559791,11.3372148218404,11.29171875,42.36703125,45.1878125,3605.55127546399,18
725182,725000,182000,1,0,0,1542.5,333.902508390865,13.4220033655458,15.317489018905,12.24046875,21.19515625,75.718125,2236.06797749979,39
725198,725000,198000,0,1,0,2400,737.588774330914,8.71300783409638,14.5730717259006,0,0.3234375,42.82265625,5000,4
725214,725000,214000,1,0,0,1383.5,699.312932169945,14.2262710825397,21.8879805247473,12.47875,33.0165625,62.07859375,2000,10
725230,725000,230000,0,0,0,1232.40002441406,821.882047130464,14.8422679929316,9.48214362439096,27.363125,66.1003125,32.91984375,5385.1648071345,6
